pcount,scount,party,name,colour
1.0,8.0,Labour,"Murphy, Jim",red
7.0,555.0,Labour,"Murphy, Paul",red
16.0,207.0,Labour,"Murray, Ian",red
0.0,1.0,Conservative,"Murray, Sheryll",blue
0.0,3.0,Conservative,"Murrison, Andrew",blue
11.0,305.0,Labour,"Nandy, Lisa",red
2.0,131.0,Labour,"Nash, Pamela",red
0.0,12.0,Conservative,"Neill, Bob",blue
1.0,0.0,,"Neill, Robert",black
37.0,786.0,Scottish National Party,"Newlands, Gavin",yellow
1.0,10.0,Conservative,"Newmark, Brooks",blue
4.0,10.0,Conservative,"Newton, Sarah",blue
2.0,856.0,Scottish National Party,"Nicolson, John",yellow
2.0,29.0,Conservative,"Nokes, Caroline",blue
1.0,1.0,Conservative,"Norman, Jesse",blue
0.0,4.0,Labour/Co-operative,"Norris, Alex",pink
0.0,5.0,Conservative,"Nuttall, David",blue
0.0,1.0,Conservative,"O'Brien, Stephen",blue
15.0,286.0,Labour,"O'Donnell, Fiona",red
44.0,578.0,Scottish National Party,"O'Hara, Brendan",yellow
0.0,1.0,Conservative,"Offord, Matthew",blue
0.0,2.0,Conservative,"Ollerenshaw, Eric",blue
1.0,33.0,,"Olney, Sarah",black
0.0,2.0,Labour,"Onasanya, Fiona",red
2.0,30.0,Labour,"Onn, Melanie",red
0.0,89.0,Labour,"Onwurah, Chi",red
1.0,0.0,,"Onwurah, Chinyelu",black
0.0,11.0,Conservative,"Opperman, Guy",blue
0.0,72.0,Labour/Co-operative,"Osamor, Kate",pink
9.0,1447.0,Labour,"Osborne, Sandra",red
59.0,817.0,Scottish National Party,"Oswald, Kirsten",yellow
1.0,52.0,Conservative,"Ottaway, Richard",blue
10.0,949.0,Labour,"Owen, Albert",red
0.0,3.0,Conservative,"Paice, James",blue
0.0,372.0,DUP,"Paisley Jnr, Ian",grey
6.0,74.0,Conservative,"Parish, Neil",blue
0.0,1.0,Conservative,"Patel, Priti",blue
0.0,1.0,Conservative,"Paterson, Owen",blue
9.0,522.0,Scottish National Party,"Paterson, Steven",yellow
2.0,16.0,Conservative,"Pawsey, Mark",blue
0.0,23.0,Labour,"Peacock, Stephanie",red
9.0,277.0,Labour,"Pearce, Teresa",red
0.0,28.0,Labour,"Pennycook, Matthew",red
1.0,2.0,Conservative,"Penrose, John",blue
2.0,82.0,Conservative,"Percy, Andrew",blue
2.0,112.0,Labour,"Perkins, Toby",red
0.0,1.0,Conservative,"Perry, Claire",blue
2.0,69.0,Labour,"Phillips, Jess",red
0.0,34.0,Labour,"Phillipson, Bridget",red
0.0,6.0,Conservative,"Philp, Chris",blue
0.0,5.0,Conservative,"Pickles, Eric",blue
0.0,2.0,Conservative,"Pincher, Christopher",blue
0.0,18.0,Labour/Co-operative,"Pollard, Luke",pink
0.0,3.0,Conservative,"Poulter, Daniel",blue
3.0,0.0,,"Pound, Stephen",black
0.0,118.0,Labour,"Pound, Steve",red
2.0,47.0,Labour/Co-operative,"Powell, Lucy",pink
0.0,9.0,Conservative,"Pritchard, Mark",blue
11.0,1092.0,Liberal Democrat,"Pugh, John",orange
9.0,1403.0,Labour,"Qureshi, Yasmin",red
0.0,3.0,Conservative,"Raab, Dominic",blue
0.0,2.0,Conservative,"Randall, John",blue
0.0,63.0,Labour,"Rayner, Angela",red
0.0,4.0,Labour,"Raynsford, Nick",red
2.0,100.0,Conservative,"Reckless, Mark",blue
0.0,17.0,Conservative,"Redwood, John",blue
7.0,63.0,Labour,"Reed, Jamie",red
0.0,17.0,Labour/Co-operative,"Reed, Steve",pink
2.0,43.0,Labour,"Rees, Christina",red
0.0,5.0,Conservative,"Rees-Mogg, Jacob",blue
5.0,124.0,Conservative,"Reevell, Simon",blue
0.0,7.0,Labour,"Reeves, Ellie",red
1.0,62.0,Labour,"Reeves, Rachel",red
3.0,238.0,Liberal Democrat,"Reid, Alan",orange
0.0,133.0,Labour,"Reynolds, Emma",red
0.0,32.0,Labour,"Reynolds, Jonathan",red
0.0,10.0,Conservative,"Rifkind, Malcolm",blue
5.0,195.0,Labour,"Rimmer, Marie",red
23.0,1143.0,Labour,"Riordan, Linda",red
68.0,2827.0,Social Democratic and Labour Party,"Ritchie, Margaret",grey
21.0,0.0,,"Roberts, Liz Saville",black
5.0,258.0,Scottish National Party,"Robertson, Angus",yellow
17.0,477.0,Labour,"Robertson, John",red
7.0,119.0,Conservative,"Robertson, Laurence",blue
1.0,651.0,DUP,"Robinson, Gavin",grey
0.0,251.0,Labour,"Robinson, Geoffrey",red
1.0,1.0,Labour,"Rodda, Matt",red
0.0,604.0,Liberal Democrat,"Rogerson, Dan",orange
12.0,0.0,,"Rogerson, Daniel",black
74.0,554.0,Conservative,"Rosindell, Andrew",blue
27.0,1338.0,Labour,"Rotheram, Steve",red
0.0,2.0,Labour,"Rowley, Danielle",red
2.0,121.0,Labour,"Roy, Frank",red
7.0,1589.0,Labour,"Roy, Lindsay",red
19.0,419.0,Labour,"Ruane, Chris",red
11.0,773.0,Labour,"Ruddock, Joan",red
138.0,1766.0,Liberal Democrat,"Russell, Bob",orange
0.0,18.0,Labour/Co-operative,"Russell-Moyle, Lloyd",pink
1.0,3.0,Conservative,"Rutley, David",blue
2.0,68.0,Labour,"Ryan, Joan",red
5.0,784.0,Scottish National Party,"Salmond, Alex",yellow
0.0,1.0,Conservative,"Sandbach, Antoinette",blue
78.0,1047.0,Liberal Democrat,"Sanders, Adrian",orange
5.0,191.0,Labour,"Sarwar, Anas",red
0.0,796.0,Plaid Cymru,"Saville-Roberts, Liz",grey
1.0,64.0,,"Sawford, Andy",black
1.0,3.0,Conservative,"Scott, Lee",blue
0.0,2.0,Conservative,"Scully, Paul",blue
1.0,22.0,Labour,"Seabeck, Alison",red
3.0,0.0,,Seema,black
0.0,4.0,Conservative,"Selous, Andrew",blue
1.0,30.0,Labour,"Shah, Naseem",red
256.0,4694.0,DUP,"Shannon, Jim",grey
0.0,2.0,Conservative,"Sharma, Alok",blue
0.0,2239.0,Labour,"Sharma, Virendra",red
40.0,0.0,,"Sharma, Virendra Kumar",black
68.0,595.0,Labour,"Sheerman, Barry",red
20.0,0.0,,"Sheikh, Tasmina",black
1.0,17.0,Conservative,"Shelbrooke, Alec",blue
1.0,43.0,Conservative,"Shepherd, Richard",blue
12.0,361.0,Scottish National Party,"Sheppard, Tommy",yellow
50.0,834.0,Labour,"Sheridan, Jim",red
3.0,80.0,Labour,"Sherriff, Paula",red
3.0,83.0,Labour,"Shuker, Gavin",red
4.0,24.0,Labour,"Siddiq, Tulip",red
21.0,2785.0,DUP,"Simpson, David",grey
1.0,2.0,Conservative,"Simpson, Keith",blue
3.0,456.0,Labour,"Singh, Marsha",red
5.0,14.0,Conservative,"Skidmore, Chris",blue
0.0,1808.0,Labour,"Skinner, Dennis",red
0.0,180.0,Labour,"Slaughter, Andrew",red
12.0,0.0,,"Slaughter, Andy",black
6.0,159.0,Labour,"Smeeth, Ruth",red
0.0,81.0,Labour,"Smith, Angela",red
5.0,0.0,,"Smith, Angela C",black
1.0,59.0,Labour,"Smith, Cat",red
0.0,5.0,Conservative,"Smith, Chloe",blue
1.0,2.0,Labour,"Smith, Eleanor",red
0.0,3.0,Conservative,"Smith, Henry",blue
0.0,30.0,Labour,"Smith, Jeff",red
1.0,8.0,Conservative,"Smith, Julian",blue
0.0,15.0,Labour,"Smith, Laura",red
6.0,285.0,Labour,"Smith, Nick",red
2.0,92.0,Labour,"Smith, Owen",red
10.0,143.0,Liberal Democrat,"Smith, Robert",orange
0.0,3.0,Labour,"Smyth, Karin",red
2.0,15.0,Labour/Co-operative,"Snell, Gareth",pink
3.0,145.0,Conservative,"Soames, Nicholas",blue
0.0,13.0,Labour/Co-operative,"Sobel, Alex",pink
0.0,19.0,Labour,"Soulsby, Peter",red
0.0,69.0,Labour,"Spellar, John",red
2.0,38.0,Conservative,"Spelman, Caroline",blue
0.0,12.0,Conservative,"Stanley, John",blue
1.0,14.0,Labour,"Starmer, Keir",red
39.0,1866.0,Scottish National Party,"Stephens, Chris",yellow
9.0,401.0,Conservative,"Stephenson, Andrew",blue
4.0,153.0,Labour,"Stevens, Jo",red
0.0,6.0,Conservative,"Stevenson, John",blue
0.0,16.0,Conservative,"Stewart, Bob",blue
2.0,7.0,Conservative,"Stewart, Iain",blue
0.0,6.0,Conservative,"Stewart, Rory",blue
0.0,2.0,Liberal Democrat,"Stone, Jamie",orange
0.0,10.0,Labour,"Straw, Jack",red
7.0,163.0,Conservative,"Streeter, Gary",blue
5.0,250.0,Labour,"Streeting, Wes",red
16.0,921.0,Labour,"Stringer, Graham",red
1.0,33.0,Labour,"Stuart, Gisela",red
5.0,86.0,Conservative,"Stuart, Graham",blue
8.0,560.0,Liberal Democrat,"Stunell, Andrew",orange
0.0,30.0,Conservative,"Sturdy, Julian",blue
5.0,262.0,Labour,"Sutcliffe, Gerry",red
12.0,342.0,Liberal Democrat,"Swales, Ian",orange
0.0,11.0,Conservative,"Swayne, Desmond",blue
1.0,15.0,Labour,"Sweeney, Paul",red
14.0,157.0,Liberal Democrat,"Swinson, Jo",orange
0.0,90.0,Conservative,"Syms, Robert",blue
4.0,290.0,Labour,"Tami, Mark",red
0.0,1.0,Conservative,"Tapsell, Peter",blue
10.0,80.0,Liberal Democrat,"Teather, Sarah",orange
50.0,1096.0,Scottish National Party,"Thewliss, Alison",yellow
0.0,1.0,Conservative,"Thomas, Derek",blue
12.0,73.0,Labour,"Thomas, Gareth",red
1.0,67.0,Labour,"Thomas-Symonds, Nick",red
25.0,1102.0,Scottish National Party,"Thompson, Owen",yellow
2.0,294.0,Scottish National Party,"Thomson, Michelle",yellow
2.0,84.0,Labour,"Thornberry, Emily",red
5.0,140.0,,"Thornton, Mike",black
8.0,287.0,Liberal Democrat,"Thurso, John",orange
1.0,69.0,Labour,"Timms, Stephen",red
0.0,9.0,Conservative,"Tolhurst, Kelly",blue
0.0,3.0,Conservative,"Tomlinson, Justin",blue
0.0,1.0,Conservative,"Tracey, Craig",blue
13.0,171.0,Conservative,"Tredinnick, David",blue
0.0,10.0,Conservative,"Trevelyan, Anne-Marie",blue
4.0,59.0,Labour,"Trickett, Jon",red
2.0,26.0,Labour/Co-operative,"Turley, Anna",pink
0.0,1.0,Conservative,"Turner, Andrew",blue
14.0,144.0,Labour,"Turner, Karl",red
2.0,67.0,Labour,"Twigg, Derek",red
6.0,165.0,Labour,"Twigg, Stephen",red
0.0,4.0,Labour,"Twist, Liz",red
0.0,1.0,Conservative,"Tyrie, Andrew",blue
5.0,114.0,Labour,"Umunna, Chuka",red
0.0,4.0,Conservative,"Uppal, Paul",blue
0.0,1.0,Conservative,"Vaizey, Ed",blue
263.0,1212.0,Labour,"Vaz, Keith",red
130.0,1291.0,Labour,"Vaz, Valerie",red
3.0,318.0,Conservative,"Vickers, Martin",blue
0.0,1.0,Conservative,"Walker, Charles",blue
2.0,168.0,Conservative,"Walker, Robin",blue
0.0,24.0,Labour,"Walker, Thelma",red
0.0,1.0,Conservative,"Wallace, Ben",blue
11.0,725.0,Labour,"Walley, Joan",red
0.0,112.0,Conservative,"Walter, Robert",blue
1.0,9.0,Conservative,"Warburton, David",blue
19.0,1033.0,Liberal Democrat,"Ward, David",orange
0.0,20.0,Conservative,"Watkinson, Angela",blue
28.0,227.0,Labour,"Watson, Tom",red
3.0,412.0,Labour,"Watts, Dave",red
13.0,231.0,Conservative,"Weatherley, Mike",blue
0.0,1563.0,Scottish National Party,"Weir, Michael",yellow
14.0,0.0,,"Weir, Mike",black
4.0,59.0,Labour,"West, Catherine",red
0.0,31.0,Labour,"Western, Matt",red
0.0,3.0,Conservative,"Wheeler, Heather",blue
4.0,36.0,Conservative,"White, Chris",blue
15.0,428.0,Scottish National Party,"Whiteford, Eilidh",yellow
9.0,49.0,Labour,"Whitehead, Alan",red
1.0,5.0,Labour,"Whitfield, Martin",red
16.0,451.0,Scottish National Party,"Whitford, Philippa",yellow
2.0,101.0,Conservative,"Whittaker, Craig",blue
6.0,94.0,Conservative,"Whittingdale, John",blue
1.0,62.0,Labour,"Wicks, Malcolm",red
4.0,9.0,Conservative,"Wiggin, Bill",blue
1.0,4.0,Conservative,"Willetts, David",blue
50.0,1401.0,Plaid Cymru,"Williams, Hywel",grey
53.0,2063.0,Liberal Democrat,"Williams, Mark",orange
19.0,602.0,Liberal Democrat,"Williams, Roger",orange
17.0,971.0,Liberal Democrat,"Williams, Stephen",orange
14.0,313.0,Labour,"Williamson, Chris",red
2.0,22.0,Conservative,"Williamson, Gavin",blue
0.0,89.0,Liberal Democrat,"Willott, Jennifer",orange
3.0,0.0,,"Willott, Jenny",black
46.0,764.0,Scottish National Party,"Wilson, Corri",yellow
3.0,41.0,Labour,"Wilson, Phil",red
0.0,1.0,Conservative,"Wilson, Rob",blue
6.0,516.0,DUP,"Wilson, Sammy",grey
8.0,150.0,Labour,"Winnick, David",red
0.0,47.0,Labour,"Winterton, Rosie",red
13.0,457.0,Scottish National Party,"Wishart, Pete",yellow
8.0,642.0,Labour,"Wood, Mike",red
3.0,54.0,Labour,"Woodcock, John",red
0.0,171.0,Labour,"Woodward, Shaun",red
0.0,2.0,Labour,"Woolas, Phil",red
0.0,3.0,Conservative,"Wragg, William",blue
3.0,293.0,Labour,"Wright, David",red
2.0,92.0,Labour,"Wright, Iain",red
4.0,270.0,Liberal Democrat,"Wright, Simon",orange
1.0,40.0,Conservative,"Yeo, Tim",blue
0.0,2.0,Conservative,"Zahawi, Nadhim",blue
3.0,85.0,Labour,"Zeichner, Daniel",red
0.0,8.0,Conservative,"de Bois, Nick",blue
